# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
2.31595149e+06	7.03330167e-18
2.55160607e+06	7.03329538e-18
2.81123917e+06	7.03328968e-18
3.09729067e+06	7.03328451e-18
3.41244871e+06	7.03327981e-18
3.75967497e+06	7.03327555e-18
4.14223247e+06	7.03327168e-18
4.56371628e+06	7.03326816e-18
5.02808725e+06	7.03326498e-18
5.53970928e+06	7.03326208e-18
6.10339029e+06	7.03325946e-18
6.72442742e+06	7.03325707e-18
7.40865683e+06	7.03325491e-18
8.16250851e+06	7.03325295e-18
8.99306672e+06	7.03325116e-18
9.90813657e+06	7.03324955e-18
1.09163173e+07	7.03324807e-18
1.20270833e+07	7.03324675e-18
1.32508729e+07	7.03324554e-18
1.45991865e+07	7.03324444e-18
1.60846948e+07	7.03324344e-18
1.77213578e+07	7.03324254e-18
1.95245558e+07	7.03324171e-18
2.15112343e+07	7.03324097e-18
2.37000629e+07	7.03324030e-18
2.61116110e+07	7.03323968e-18
2.87685409e+07	7.03323913e-18
3.16958209e+07	7.03323862e-18
3.49209598e+07	7.03323815e-18
3.84742658e+07	7.03323775e-18
4.23891306e+07	7.03323736e-18
4.67023439e+07	7.03323702e-18
5.14544388e+07	7.03323671e-18
5.66900727e+07	7.03323642e-18
6.24584471e+07	7.03323618e-18
6.88137699e+07	7.03323594e-18
7.58157646e+07	7.03323574e-18
8.35302320e+07	7.03323553e-18
9.20296681e+07	7.03323535e-18
1.01393946e+08	7.03323520e-18
1.11711065e+08	7.03323505e-18
1.23077980e+08	7.03323494e-18
1.35601511e+08	7.03323482e-18
1.49399346e+08	7.03323471e-18
1.64601150e+08	7.03323457e-18
1.81349780e+08	7.03323449e-18
1.99802631e+08	7.03323443e-18
2.20133111e+08	7.03323432e-18
2.42532274e+08	7.03323434e-18
2.67210616e+08	7.03323421e-18
2.94400048e+08	7.03323419e-18
3.24356081e+08	7.03323415e-18
3.57360225e+08	7.03323405e-18
3.93722633e+08	7.03323409e-18
4.33785019e+08	7.03323393e-18
4.77923865e+08	7.03323398e-18
5.26553963e+08	7.03323397e-18
5.80132310e+08	7.03323382e-18
6.39162405e+08	7.03323395e-18
7.04198979e+08	7.03323383e-18
7.75853206e+08	7.03323392e-18
8.54798453e+08	7.03323379e-18
9.41776601e+08	7.03323355e-18
1.03760502e+09	7.03323372e-18
1.14318425e+09	7.03323386e-18
1.25950646e+09	7.03323363e-18
1.38766479e+09	7.03323377e-18
1.52886359e+09	7.03323372e-18
1.68442976e+09	7.03323390e-18
1.85582523e+09	7.03323368e-18
2.04466067e+09	7.03323313e-18
2.25271064e+09	7.03323419e-18
2.48193029e+09	7.03323363e-18
2.73447368e+09	7.03323326e-18
3.01271407e+09	7.03323379e-18
3.31926620e+09	7.03323424e-18
3.65701088e+09	7.03323405e-18
4.02912203e+09	7.03323306e-18
4.43909653e+09	7.03323397e-18
4.89078709e+09	7.03323334e-18
5.38843844e+09	7.03323365e-18
5.93672722e+09	7.03323417e-18
6.54080591e+09	7.03323320e-18
7.20635132e+09	7.03323340e-18
7.93961785e+09	7.03323262e-18
8.74749630e+09	7.03323151e-18
9.63757866e+09	7.03323294e-18
1.06182294e+10	7.03323462e-18
1.16986641e+10	7.03322990e-18
1.28890361e+10	7.03323430e-18
1.42005318e+10	7.03323255e-18
1.56454759e+10	7.03323353e-18
1.72374471e+10	7.03323523e-18
