# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.00000000e-02	4.97614470e-07
1.10684849e-02	5.56038731e-07
1.22511358e-02	6.17136568e-07
1.35601511e-02	6.80134672e-07
1.50090328e-02	7.44014261e-07
1.66127252e-02	8.07487887e-07
1.83877698e-02	8.68978107e-07
2.03524752e-02	9.26662322e-07
2.25271064e-02	9.78577140e-07
2.49340937e-02	1.02281290e-06
2.75982639e-02	1.05780634e-06
3.05470967e-02	1.08263765e-06
3.38110078e-02	1.09605593e-06
3.74236629e-02	1.10220384e-06
4.14223247e-02	1.10065160e-06
4.58482375e-02	1.08312543e-06
5.07470524e-02	1.07785409e-06
5.61692982e-02	1.06737436e-06
6.21709029e-02	1.05209716e-06
6.88137699e-02	1.02981480e-06
7.61664172e-02	9.93880342e-07
8.43046837e-02	9.61239191e-07
9.33125118e-02	9.15669498e-07
1.03282813e-01	8.59107423e-07
1.14318425e-01	7.94118739e-07
1.26533176e-01	7.23757939e-07
1.40053055e-01	6.50365467e-07
1.55017512e-01	5.78395220e-07
1.71580899e-01	5.08605563e-07
1.89914058e-01	4.42780914e-07
2.10206088e-01	3.82074830e-07
2.32666291e-01	3.27135294e-07
2.57526333e-01	2.78192133e-07
2.85042632e-01	2.35198329e-07
3.15499006e-01	1.97875373e-07
3.49209598e-01	1.65803746e-07
3.86522116e-01	1.38482930e-07
4.27821420e-01	1.15379375e-07
4.73533492e-01	9.59618123e-08
5.24129830e-01	7.97250871e-08
5.80132310e-01	6.62045893e-08
6.42118571e-01	5.49835333e-08
7.10727970e-01	4.56951593e-08
7.86668179e-01	3.80215703e-08
8.70722485e-01	3.16905294e-08
9.63757866e-01	2.64711549e-08
1.06673394e+00	2.21691960e-08
1.18071285e+00	1.86222929e-08
1.30687023e+00	1.56954862e-08
1.44650734e+00	1.32771126e-08
1.60106446e+00	1.12742328e-08
1.77213578e+00	9.61334171e-09
1.96148581e+00	8.23131687e-09
2.17106760e+00	7.07760273e-09
2.40304289e+00	6.11097984e-09
2.65980440e+00	5.29789127e-09
2.94400048e+00	4.61104963e-09
3.25856248e+00	4.02827950e-09
3.60673495e+00	3.53156146e-09
3.99210913e+00	3.10596802e-09
4.41865996e+00	2.74021712e-09
4.89078709e+00	2.42414836e-09
5.41336030e+00	2.14997305e-09
5.99176967e+00	1.91111328e-09
6.63198120e+00	1.70222720e-09
7.34059837e+00	1.51890970e-09
8.12493021e+00	1.35751027e-09
8.99306672e+00	1.21498958e-09
9.95396231e+00	1.08880452e-09
1.10175281e+01	9.76847398e-10
1.21947344e+01	8.77234877e-10
1.34977233e+01	7.88477411e-10
1.49399346e+01	7.09259271e-10
1.65362441e+01	6.38450742e-10
1.83031168e+01	5.75076985e-10
2.02587771e+01	5.18292881e-10
2.24233968e+01	4.67362589e-10
2.48193029e+01	4.21642867e-10
2.74712079e+01	3.80569368e-10
3.04064649e+01	3.43645339e-10
3.36553498e+01	3.10432227e-10
3.72513730e+01	2.80541830e-10
4.12316259e+01	2.53629707e-10
4.56371628e+01	2.29389599e-10
5.05134247e+01	2.07548692e-10
5.59107078e+01	1.87863566e-10
6.18846824e+01	1.70116709e-10
6.84969672e+01	1.54113515e-10
7.58157646e+01	1.39679676e-10
8.39165644e+01	1.26658910e-10
9.28829225e+01	1.14910972e-10
1.02807322e+02	1.04309918e-10
1.13792129e+02	9.47425643e-11
1.25950646e+02	8.61071393e-11
1.39408283e+02	7.83120817e-11
1.54303847e+02	7.12749794e-11
1.70790980e+02	6.49216247e-11
1.89039738e+02	5.91851734e-11
2.09238348e+02	5.40053952e-11
2.31595149e+02	4.93280032e-11
2.56340741e+02	4.51040560e-11
2.83730362e+02	4.12894207e-11
3.14046522e+02	3.78442930e-11
3.47601918e+02	3.47327662e-11
3.84742658e+02	3.19224442e-11
4.25851829e+02	2.93840946e-11
4.71353453e+02	2.70913360e-11
5.21716858e+02	2.50203575e-11
5.77461515e+02	2.31496660e-11
6.39162405e+02	2.14598589e-11
7.07455942e+02	1.99334192e-11
7.83046540e+02	1.85545312e-11
8.66713880e+02	1.73089146e-11
9.59320948e+02	1.61836741e-11
1.06182294e+03	1.51671650e-11
1.17527712e+03	1.42488711e-11
1.30085370e+03	1.34192953e-11
1.43984795e+03	1.26698599e-11
1.59369353e+03	1.19928180e-11
1.76397728e+03	1.13811724e-11
1.95245558e+03	1.08286030e-11
2.16107251e+03	1.03294011e-11
2.39197984e+03	9.87841014e-12
2.64755927e+03	9.47097229e-12
2.93044698e+03	9.10288002e-12
3.24356081e+03	8.77033259e-12
3.59013038e+03	8.46989659e-12
3.97373038e+03	8.19847048e-12
4.39831747e+03	7.95325241e-12
4.86827104e+03	7.73171128e-12
5.38843844e+03	7.53156052e-12
5.96418495e+03	7.35073449e-12
6.60144909e+03	7.18736706e-12
7.30680395e+03	7.03977238e-12
8.08752491e+03	6.90642744e-12
8.95166472e+03	6.78595631e-12
9.90813657e+03	6.67711595e-12
1.09668060e+04	6.57878339e-12
1.21385926e+04	6.48994407e-12
1.34355829e+04	6.40968142e-12
1.48711546e+04	6.33716739e-12
1.64601150e+04	6.27165387e-12
1.82188534e+04	6.21246499e-12
2.01655104e+04	6.15899015e-12
2.23201647e+04	6.11067768e-12
2.47050406e+04	6.06702921e-12
2.73447368e+04	6.02759445e-12
3.02664806e+04	5.99196662e-12
3.35004083e+04	5.95977819e-12
3.70798763e+04	5.93069713e-12
4.10418050e+04	5.90442345e-12
4.54270599e+04	5.88068613e-12
5.02808725e+04	5.85924031e-12
5.56533078e+04	5.83986478e-12
6.15997796e+04	5.82235969e-12
6.81816229e+04	5.80654445e-12
7.54667263e+04	5.79225594e-12
8.35302320e+04	5.77934678e-12
9.24553110e+04	5.76768380e-12
1.02334021e+05	5.75714671e-12
1.13268257e+05	5.74762681e-12
1.25370799e+05	5.73902592e-12
1.38766479e+05	5.73125531e-12
1.53593468e+05	5.72423483e-12
1.70004698e+05	5.71789208e-12
1.88169442e+05	5.71216161e-12
2.08275063e+05	5.70698434e-12
2.30528939e+05	5.70230685e-12
2.55160607e+05	5.69808090e-12
2.82424133e+05	5.69426289e-12
3.12600724e+05	5.69081346e-12
3.46001639e+05	5.68769701e-12
3.82971391e+05	5.68488141e-12
4.23891306e+05	5.68233761e-12
4.69183451e+05	5.68003938e-12
5.19314994e+05	5.67796300e-12
5.74803016e+05	5.67608706e-12
6.36219849e+05	5.67439222e-12
7.04198979e+05	5.67286098e-12
7.79441575e+05	5.67147756e-12
8.62723729e+05	5.67022769e-12
9.54904456e+05	5.66909848e-12
1.05693455e+06	5.66807827e-12
1.16986641e+06	5.66715655e-12
1.29486487e+06	5.66632380e-12
1.43321923e+06	5.66557144e-12
1.58635653e+06	5.66489171e-12
1.75585633e+06	5.66427760e-12
1.94346693e+06	5.66372277e-12
2.15112343e+06	5.66322150e-12
2.38096772e+06	5.66276862e-12
2.63537052e+06	5.66235946e-12
2.91695588e+06	5.66198980e-12
3.22862820e+06	5.66165582e-12
3.57360225e+06	5.66135408e-12
3.95543624e+06	5.66108147e-12
4.37806863e+06	5.66083518e-12
4.84585864e+06	5.66061266e-12
5.36363132e+06	5.66041162e-12
5.93672722e+06	5.66022999e-12
6.57105755e+06	5.66006590e-12
7.27316511e+06	5.65991763e-12
8.05029181e+06	5.65978369e-12
8.91045332e+06	5.65966268e-12
9.86252179e+06	5.65955334e-12
1.09163173e+07	5.65945457e-12
1.20827094e+07	5.65936532e-12
1.33737286e+07	5.65928470e-12
1.48026913e+07	5.65921185e-12
1.63843365e+07	5.65914604e-12
1.81349780e+07	5.65908658e-12
2.00726730e+07	5.65903286e-12
2.22174078e+07	5.65898432e-12
2.45913043e+07	5.65894048e-12
2.72188479e+07	5.65890087e-12
3.01271407e+07	5.65886507e-12
3.33461802e+07	5.65883272e-12
3.69091691e+07	5.65880354e-12
4.08528580e+07	5.65877713e-12
4.52179242e+07	5.65875329e-12
5.00493910e+07	5.65873173e-12
5.53970928e+07	5.65871228e-12
6.13161884e+07	5.65869467e-12
6.78677305e+07	5.65867882e-12
7.51192949e+07	5.65866447e-12
8.31456781e+07	5.65865147e-12
9.20296681e+07	5.65863979e-12
1.01862899e+08	5.65862918e-12
1.12746796e+08	5.65861958e-12
1.24793621e+08	5.65861097e-12
1.38127630e+08	5.65860315e-12
1.52886359e+08	5.65859600e-12
1.69222035e+08	5.65858972e-12
1.87303154e+08	5.65858405e-12
2.07316213e+08	5.65857871e-12
2.29467637e+08	5.65857418e-12
2.53985907e+08	5.65856977e-12
2.81123917e+08	5.65856586e-12
3.11161583e+08	5.65856251e-12
3.44408728e+08	5.65855926e-12
3.81208280e+08	5.65855668e-12
4.21939808e+08	5.65855386e-12
4.67023439e+08	5.65855179e-12
5.16924187e+08	5.65854939e-12
5.72156756e+08	5.65854769e-12
6.33290840e+08	5.65854616e-12
7.00957009e+08	5.65854443e-12
7.75853206e+08	5.65854316e-12
8.58751948e+08	5.65854193e-12
9.50508296e+08	5.65854090e-12
1.05206867e+09	5.65853976e-12
1.16448062e+09	5.65853858e-12
1.28890361e+09	5.65853789e-12
1.42662102e+09	5.65853715e-12
1.57905331e+09	5.65853578e-12
1.74777277e+09	5.65853637e-12
1.93451965e+09	5.65853595e-12
2.14122015e+09	5.65853575e-12
2.37000629e+09	5.65853436e-12
2.62323788e+09	5.65853361e-12
2.90352688e+09	5.65853378e-12
3.21376434e+09	5.65853490e-12
3.55715021e+09	5.65853286e-12
3.93722633e+09	5.65853422e-12
4.35791301e+09	5.65853155e-12
4.82354943e+09	5.65853217e-12
5.33893840e+09	5.65853331e-12
5.90939590e+09	5.65853244e-12
6.54080591e+09	5.65853375e-12
7.23968114e+09	5.65853463e-12
8.01323013e+09	5.65853416e-12
8.86943166e+09	5.65853020e-12
9.81711702e+09	5.65852848e-12
1.08660611e+10	5.65852976e-12
1.20270833e+10	5.65852807e-12
1.33121590e+10	5.65852123e-12
1.47345431e+10	5.65852018e-12
1.63089068e+10	5.65853190e-12
1.80514888e+10	5.65853571e-12
1.99802631e+10	5.65853002e-12
2.21151240e+10	5.65853129e-12
2.44780916e+10	5.65853619e-12
2.70935387e+10	5.65852055e-12
2.99884423e+10	5.65853317e-12
3.31926620e+10	5.65853232e-12
3.67392478e+10	5.65852605e-12
4.06647809e+10	5.65851961e-12
4.50097513e+10	5.65853743e-12
4.98189752e+10	5.65849657e-12
5.51420574e+10	5.65850563e-12
6.10339029e+10	5.65852268e-12
6.75552832e+10	5.65856398e-12
7.47734631e+10	5.65849377e-12
8.27628946e+10	5.65847955e-12
9.16059848e+10	5.65847862e-12
1.01393946e+11	5.65847407e-12
1.12227736e+11	5.65850682e-12
1.24219100e+11	5.65858381e-12
1.37491723e+11	5.65856634e-12
1.52182505e+11	5.65855253e-12
1.68442976e+11	5.65857355e-12
1.86440853e+11	5.65858706e-12
2.06361777e+11	5.65856654e-12
2.28411221e+11	5.65850529e-12
2.52816614e+11	5.65851800e-12
2.79829688e+11	5.65871598e-12
3.09729067e+11	5.65857127e-12
3.42823149e+11	5.65859184e-12
3.79453285e+11	5.65868014e-12
4.19997295e+11	5.65857185e-12
4.64873371e+11	5.65863716e-12
5.14544388e+11	5.65853707e-12
5.69522678e+11	5.65873616e-12
6.30375315e+11	5.65875751e-12
6.97729965e+11	5.65853197e-12
7.72281357e+11	5.65863965e-12
8.54798453e+11	5.65823859e-12
9.46132376e+11	5.65922346e-12
1.04722519e+12	5.65929420e-12
1.15911962e+12	5.65826166e-12
1.28296980e+12	5.65815024e-12
1.42005318e+12	5.65839290e-12
1.57178372e+12	5.65794481e-12
1.73972643e+12	5.65843005e-12
1.92561357e+12	5.65915047e-12
2.13136247e+12	5.65916179e-12
2.35909533e+12	5.65930387e-12
2.61116110e+12	5.65822644e-12
2.89015972e+12	5.65818706e-12
3.19896892e+12	5.65903819e-12
3.54077391e+12	5.65981462e-12
3.91910025e+12	5.65857514e-12
4.33785019e+12	5.65761016e-12
4.80134292e+12	5.66122932e-12
5.31435916e+12	5.65491564e-12
5.88219040e+12	5.65678337e-12
6.51069356e+12	5.66278265e-12
7.20635132e+12	5.66225265e-12
7.97633907e+12	5.66188499e-12
8.82859884e+12	5.65556796e-12
9.77192128e+12	5.65861413e-12
1.08160363e+13	5.65437635e-12
1.19717134e+13	5.65948028e-12
1.32508729e+13	5.65867806e-12
1.46667087e+13	5.65610588e-12
1.62338243e+13	5.65672880e-12
1.79683839e+13	5.66065094e-12
1.98882786e+13	5.65335000e-12
2.20133111e+13	5.66827093e-12
2.43654001e+13	5.66403245e-12
2.69688063e+13	5.65336158e-12
2.98503825e+13	5.65520998e-12
3.30398507e+13	5.66620137e-12
3.65701088e+13	5.67859034e-12
4.04775697e+13	5.63725354e-12
4.48025368e+13	5.63321361e-12
4.95896201e+13	5.63874114e-12
5.48881961e+13	5.62794915e-12
6.07529169e+13	5.66970985e-12
6.72442742e+13	5.65926499e-12
7.44292233e+13	5.61444335e-12
8.23818733e+13	5.65511281e-12
9.11842520e+13	5.61078645e-12
1.00927151e+14	5.67964321e-12
1.11711065e+14	5.65485994e-12
1.23647224e+14	5.71040748e-12
1.36858742e+14	5.63254706e-12
1.51481892e+14	5.65326545e-12
1.67667503e+14	5.64347930e-12
1.85582523e+14	5.55380621e-12
2.05411735e+14	5.64277148e-12
2.27359668e+14	5.68918236e-12
2.51652705e+14	5.74442529e-12
2.78541416e+14	5.77629805e-12
3.08303146e+14	5.52132027e-12
3.41244871e+14	5.52239409e-12
3.77706369e+14	5.48913769e-12
4.18063724e+14	5.66493272e-12
4.62733201e+14	5.57290038e-12
5.12175544e+14	5.79409184e-12
5.66900727e+14	5.62242053e-12
6.27473213e+14	5.83143093e-12
6.94517777e+14	5.63338956e-12
7.68725952e+14	5.82653486e-12
8.50863158e+14	6.01795397e-12
9.41776601e+14	5.11516939e-12
1.04240401e+15	4.65020919e-12
1.15378330e+15	4.73942965e-12
1.27706330e+15	4.98030954e-12
1.41351558e+15	5.05179990e-12
1.56454759e+15	5.31805103e-12
1.73171713e+15	4.36765085e-12
1.91674849e+15	4.58755940e-12
