# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.00000000e-02	6.32092183e-05
1.10684849e-02	6.13874606e-05
1.22511358e-02	5.84646281e-05
1.35601511e-02	5.46680334e-05
1.50090328e-02	5.02641485e-05
1.66127252e-02	4.55198934e-05
1.83877698e-02	4.06666942e-05
2.03524752e-02	3.58985557e-05
2.25271064e-02	3.13492478e-05
2.49340937e-02	2.71145126e-05
2.75982639e-02	2.32528654e-05
3.05470967e-02	1.97905689e-05
3.38110078e-02	1.67331151e-05
3.74236629e-02	1.40671896e-05
4.14223247e-02	1.17678550e-05
4.58482375e-02	9.80304123e-06
5.07470524e-02	8.13723127e-06
5.61692982e-02	6.73423779e-06
6.21709029e-02	5.55912694e-06
6.88137699e-02	4.57942587e-06
7.61664172e-02	3.76577647e-06
8.43046837e-02	3.09219001e-06
9.33125118e-02	2.53603123e-06
1.03282813e-01	2.07783626e-06
1.14318425e-01	1.70103656e-06
1.26533176e-01	1.39164157e-06
1.40053055e-01	1.13791386e-06
1.55017512e-01	9.30057082e-07
1.71580899e-01	7.59930905e-07
1.89914058e-01	6.20791695e-07
2.10206088e-01	5.07069810e-07
2.32666291e-01	4.14175038e-07
2.57526333e-01	3.38331107e-07
2.85042632e-01	2.76435809e-07
3.15499006e-01	2.25943568e-07
3.49209598e-01	1.84767495e-07
3.86522116e-01	1.51198030e-07
4.27821420e-01	1.23835626e-07
4.73533492e-01	1.01535234e-07
5.24129830e-01	8.33605923e-08
5.80132310e-01	6.85467033e-08
6.42118571e-01	5.64689255e-08
7.10727970e-01	4.66176785e-08
7.86668179e-01	3.85776025e-08
8.70722485e-01	3.20104102e-08
9.63757866e-01	2.66407998e-08
1.06673394e+00	2.22448536e-08
1.18071285e+00	1.86405274e-08
1.30687023e+00	1.56798737e-08
1.44650734e+00	1.32426998e-08
1.60106446e+00	1.12304888e-08
1.77213578e+00	9.56611085e-09
1.96148581e+00	8.18409730e-09
2.17106760e+00	7.03239275e-09
2.40304289e+00	6.06882896e-09
2.65980440e+00	5.25926069e-09
2.94400048e+00	4.57604500e-09
3.25856248e+00	3.99680008e-09
3.60673495e+00	3.50339495e-09
3.99210913e+00	3.08085175e-09
4.41865996e+00	2.71786623e-09
4.89078709e+00	2.40428596e-09
5.41336030e+00	2.13233696e-09
5.99176967e+00	1.89546355e-09
6.63198120e+00	1.68834747e-09
7.34059837e+00	1.50660699e-09
8.12493021e+00	1.34661359e-09
8.99306672e+00	1.20534783e-09
9.95396231e+00	1.08028427e-09
1.10175281e+01	9.69330453e-10
1.21947344e+01	8.70617103e-10
1.34977233e+01	7.82666026e-10
1.49399346e+01	7.04171740e-10
1.65362441e+01	6.34013503e-10
1.83031168e+01	5.71224364e-10
2.02587771e+01	5.14966165e-10
2.24233968e+01	4.64509223e-10
2.48193029e+01	4.19215753e-10
2.74712079e+01	3.78526262e-10
3.04064649e+01	3.41948312e-10
3.36553498e+01	3.09047199e-10
3.72513730e+01	2.79438157e-10
4.12316259e+01	2.52779819e-10
4.56371628e+01	2.28768675e-10
5.05134247e+01	2.07134378e-10
5.59107078e+01	1.87635719e-10
6.18846824e+01	1.70057174e-10
6.84969672e+01	1.54205923e-10
7.58157646e+01	1.39909263e-10
8.39165644e+01	1.27012357e-10
9.28829225e+01	1.15376264e-10
1.02807322e+02	1.04876209e-10
1.13792129e+02	9.54000688e-11
1.25950646e+02	8.68470216e-11
1.39408283e+02	7.91263659e-11
1.54303847e+02	7.21564642e-11
1.70790980e+02	6.58638080e-11
1.89039738e+02	6.01821837e-11
2.09238348e+02	5.50519301e-11
2.31595149e+02	5.04192743e-11
2.56340741e+02	4.62357385e-11
2.83730362e+02	4.24576085e-11
3.14046522e+02	3.90454582e-11
3.47601918e+02	3.59637220e-11
3.84742658e+02	3.31803123e-11
4.25851829e+02	3.06662749e-11
4.71353453e+02	2.83954798e-11
5.21716858e+02	2.63443433e-11
5.77461515e+02	2.44915772e-11
6.39162405e+02	2.28179641e-11
7.07455942e+02	2.13061545e-11
7.83046540e+02	1.99404837e-11
8.66713880e+02	1.87068079e-11
9.59320948e+02	1.75923551e-11
1.06182294e+03	1.65855920e-11
1.17527712e+03	1.56761031e-11
1.30085370e+03	1.48544820e-11
1.43984795e+03	1.41122333e-11
1.59369353e+03	1.34416842e-11
1.76397728e+03	1.28359045e-11
1.95245558e+03	1.22886346e-11
2.16107251e+03	1.17942206e-11
2.39197984e+03	1.13475553e-11
2.64755927e+03	1.09440254e-11
2.93044698e+03	1.05794639e-11
3.24356081e+03	1.02501063e-11
3.59013038e+03	9.95255219e-12
3.97373038e+03	9.68372975e-12
4.39831747e+03	9.44086399e-12
4.86827104e+03	9.22144808e-12
5.38843844e+03	9.02321737e-12
5.96418495e+03	8.84412602e-12
6.60144909e+03	8.68232582e-12
7.30680395e+03	8.53614707e-12
8.08752491e+03	8.40408136e-12
8.95166472e+03	8.28476598e-12
9.90813657e+03	8.17696979e-12
1.09668060e+04	8.07958060e-12
1.21385926e+04	7.99159358e-12
1.34355829e+04	7.91210096e-12
1.48711546e+04	7.84028262e-12
1.64601150e+04	7.77539763e-12
1.82188534e+04	7.71677661e-12
2.01655104e+04	7.66381479e-12
2.23201647e+04	7.61596584e-12
2.47050406e+04	7.57273613e-12
2.73447368e+04	7.53367971e-12
3.02664806e+04	7.49839370e-12
3.35004083e+04	7.46651409e-12
3.70798763e+04	7.43771203e-12
4.10418050e+04	7.41169042e-12
4.54270599e+04	7.38818084e-12
5.02808725e+04	7.36694078e-12
5.56533078e+04	7.34775115e-12
6.15997796e+04	7.33041400e-12
6.81816229e+04	7.31475050e-12
7.54667263e+04	7.30059908e-12
8.35302320e+04	7.28781377e-12
9.24553110e+04	7.27626269e-12
1.02334021e+05	7.26582669e-12
1.13268257e+05	7.25639813e-12
1.25370799e+05	7.24787976e-12
1.38766479e+05	7.24018370e-12
1.53593468e+05	7.23323058e-12
1.70004698e+05	7.22694868e-12
1.88169442e+05	7.22127319e-12
2.08275063e+05	7.21614559e-12
2.30528939e+05	7.21151298e-12
2.55160607e+05	7.20732757e-12
2.82424133e+05	7.20354620e-12
3.12600724e+05	7.20012986e-12
3.46001639e+05	7.19704331e-12
3.82971391e+05	7.19425472e-12
4.23891306e+05	7.19173533e-12
4.69183451e+05	7.18945914e-12
5.19314994e+05	7.18740269e-12
5.74803016e+05	7.18554475e-12
6.36219849e+05	7.18386617e-12
7.04198979e+05	7.18234962e-12
7.79441575e+05	7.18097948e-12
8.62723729e+05	7.17974160e-12
9.54904456e+05	7.17862322e-12
1.05693455e+06	7.17761280e-12
1.16986641e+06	7.17669992e-12
1.29486487e+06	7.17587516e-12
1.43321923e+06	7.17513002e-12
1.58635653e+06	7.17445681e-12
1.75585633e+06	7.17384859e-12
1.94346693e+06	7.17329909e-12
2.15112343e+06	7.17280263e-12
