# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.00000000e-02	2.95407713e-10
1.10684849e-02	3.64459408e-10
1.22511358e-02	4.50272806e-10
1.35601511e-02	5.57053857e-10
1.50090328e-02	6.90092671e-10
1.66127252e-02	8.56041944e-10
1.83877698e-02	1.06326124e-09
2.03524752e-02	1.32223867e-09
2.25271064e-02	1.64610120e-09
2.49340937e-02	2.05122310e-09
2.75982639e-02	2.55793832e-09
3.05470967e-02	3.19135543e-09
3.38110078e-02	3.98226261e-09
3.74236629e-02	4.96809327e-09
4.14223247e-02	6.19389842e-09
4.58482375e-02	7.71323886e-09
5.07470524e-02	9.58886556e-09
5.61692982e-02	1.18930004e-08
6.21709029e-02	1.47069605e-08
6.88137699e-02	1.81197869e-08
7.61664172e-02	2.22254520e-08
8.43046837e-02	2.71181251e-08
9.33125118e-02	3.28849141e-08
1.03282813e-01	3.95954546e-08
1.14318425e-01	4.72877902e-08
1.26533176e-01	5.59502033e-08
1.40053055e-01	6.54991488e-08
1.55017512e-01	7.57544091e-08
1.71580899e-01	8.64140600e-08
1.89914058e-01	9.70339951e-08
2.10206088e-01	1.07019760e-07
2.32666291e-01	1.15641723e-07
2.57526333e-01	1.22083653e-07
2.85042632e-01	1.25535982e-07
3.15499006e-01	1.25331790e-07
3.49209598e-01	1.21108035e-07
3.86522116e-01	1.12950341e-07
4.27821420e-01	1.01464198e-07
4.73533492e-01	8.74784031e-08
5.24129830e-01	7.29530026e-08
5.80132310e-01	5.88022490e-08
6.42118571e-01	4.60980244e-08
7.10727970e-01	3.33678836e-08
7.86668179e-01	2.60753023e-08
8.70722485e-01	2.02528910e-08
9.63757866e-01	1.57130013e-08
1.06673394e+00	1.24543393e-08
1.18071285e+00	9.70805167e-09
1.30687023e+00	8.28104058e-09
1.44650734e+00	7.19265284e-09
1.60106446e+00	6.36349571e-09
1.77213578e+00	5.71402092e-09
1.96148581e+00	5.18002337e-09
2.17106760e+00	4.71853547e-09
2.40304289e+00	4.28752853e-09
2.65980440e+00	3.91932005e-09
2.94400048e+00	3.57224888e-09
3.25856248e+00	3.24852338e-09
3.60673495e+00	2.94891948e-09
3.99210913e+00	2.67303783e-09
4.41865996e+00	2.42069693e-09
4.89078709e+00	2.19038108e-09
5.41336030e+00	1.98089165e-09
5.99176967e+00	1.79068942e-09
6.63198120e+00	1.61827825e-09
7.34059837e+00	1.46218269e-09
8.12493021e+00	1.32098177e-09
8.99306672e+00	1.19333212e-09
9.95396231e+00	1.07798079e-09
1.10175281e+01	9.73801806e-10
1.21947344e+01	8.79659821e-10
1.34977233e+01	7.94634613e-10
1.49399346e+01	7.17844906e-10
1.65362441e+01	6.48492381e-10
1.83031168e+01	5.85855024e-10
2.02587771e+01	5.29280519e-10
2.24233968e+01	4.78179910e-10
2.48193029e+01	4.32021642e-10
2.74712079e+01	3.90326050e-10
3.04064649e+01	3.52660311e-10
3.36553498e+01	3.18633854e-10
3.72513730e+01	2.87894202e-10
4.12316259e+01	2.60123217e-10
4.56371628e+01	2.35033716e-10
5.05134247e+01	2.12366429e-10
5.59107078e+01	1.91887252e-10
6.18846824e+01	1.73384784e-10
6.84969672e+01	1.56668104e-10
7.58157646e+01	1.41564774e-10
8.39165644e+01	1.27919035e-10
9.28829225e+01	1.15590189e-10
1.02807322e+02	1.04451133e-10
1.13792129e+02	9.43870409e-11
1.25950646e+02	8.52941760e-11
1.39408283e+02	7.70788159e-11
1.54303847e+02	6.96562846e-11
1.70790980e+02	6.29500782e-11
1.89039738e+02	5.68910751e-11
2.09238348e+02	5.14168236e-11
2.31595149e+02	4.64708975e-11
2.56340741e+02	4.20023149e-11
2.83730362e+02	3.79650128e-11
3.14046522e+02	3.43173724e-11
3.47601918e+02	3.10217903e-11
3.84742658e+02	2.80442915e-11
4.25851829e+02	2.53541789e-11
4.71353453e+02	2.29237174e-11
5.21716858e+02	2.07278479e-11
5.77461515e+02	1.87439296e-11
6.39162405e+02	1.69515063e-11
7.07455942e+02	1.53320959e-11
7.83046540e+02	1.38689996e-11
8.66713880e+02	1.25471303e-11
9.59320948e+02	1.13528568e-11
1.06182294e+03	1.02738635e-11
1.17527712e+03	9.29902336e-12
1.30085370e+03	8.41828316e-12
1.43984795e+03	7.62256001e-12
1.59369353e+03	6.90364765e-12
1.76397728e+03	6.25413187e-12
1.95245558e+03	5.66731406e-12
2.16107251e+03	5.13714216e-12
2.39197984e+03	4.65814828e-12
2.64755927e+03	4.22539228e-12
2.93044698e+03	3.83441087e-12
3.24356081e+03	3.48117158e-12
3.59013038e+03	3.16203118e-12
3.97373038e+03	2.87369808e-12
4.39831747e+03	2.61319845e-12
4.86827104e+03	2.37784549e-12
5.38843844e+03	2.16521178e-12
5.96418495e+03	1.97310418e-12
6.60144909e+03	1.79954128e-12
7.30680395e+03	1.64273292e-12
8.08752491e+03	1.50106176e-12
8.95166472e+03	1.37306656e-12
9.90813657e+03	1.25742715e-12
1.09668060e+04	1.15295080e-12
1.21385926e+04	1.05855990e-12
1.34355829e+04	9.73280879e-13
1.48711546e+04	8.96234139e-13
1.64601150e+04	8.26624994e-13
1.82188534e+04	7.63735467e-13
2.01655104e+04	7.06916895e-13
2.23201647e+04	6.55583226e-13
2.47050406e+04	6.09204985e-13
2.73447368e+04	5.67303808e-13
3.02664806e+04	5.29447508e-13
3.35004083e+04	4.95245619e-13
3.70798763e+04	4.64345368e-13
4.10418050e+04	4.36428035e-13
4.54270599e+04	4.11205669e-13
5.02808725e+04	3.88418115e-13
5.56533078e+04	3.67830330e-13
6.15997796e+04	3.49229965e-13
6.81816229e+04	3.32425164e-13
7.54667263e+04	3.17242596e-13
8.35302320e+04	3.03525660e-13
9.24553110e+04	2.91132874e-13
1.02334021e+05	2.79936412e-13
1.13268257e+05	2.69820788e-13
1.25370799e+05	2.60681665e-13
1.38766479e+05	2.52424777e-13
1.53593468e+05	2.44964959e-13
1.70004698e+05	2.38225267e-13
1.88169442e+05	2.32136184e-13
2.08275063e+05	2.26634904e-13
2.30528939e+05	2.21664684e-13
2.55160607e+05	2.17174259e-13
2.82424133e+05	2.13117313e-13
3.12600724e+05	2.09452000e-13
3.46001639e+05	2.06140514e-13
3.82971391e+05	2.03148699e-13
4.23891306e+05	2.00445695e-13
4.69183451e+05	1.98003623e-13
5.19314994e+05	1.95797294e-13
5.74803016e+05	1.93803951e-13
6.36219849e+05	1.92003033e-13
7.04198979e+05	1.90375965e-13
7.79441575e+05	1.88905964e-13
8.62723729e+05	1.87577868e-13
9.54904456e+05	1.86377979e-13
1.05693455e+06	1.85293920e-13
1.16986641e+06	1.84314509e-13
1.29486487e+06	1.83429645e-13
1.43321923e+06	1.82630200e-13
1.58635653e+06	1.81907928e-13
1.75585633e+06	1.81255381e-13
1.94346693e+06	1.80665826e-13
2.15112343e+06	1.80133184e-13
2.38096772e+06	1.79651959e-13
2.63537052e+06	1.79217189e-13
2.91695588e+06	1.78824389e-13
3.22862820e+06	1.78469508e-13
3.57360225e+06	1.78148885e-13
3.95543624e+06	1.77859213e-13
4.37806863e+06	1.77597504e-13
4.84585864e+06	1.77361059e-13
5.36363132e+06	1.77147438e-13
5.93672722e+06	1.76954440e-13
6.57105755e+06	1.76780072e-13
7.27316511e+06	1.76622537e-13
8.05029181e+06	1.76480209e-13
8.91045332e+06	1.76351621e-13
9.86252179e+06	1.76235446e-13
1.09163173e+07	1.76130485e-13
1.20827094e+07	1.76035657e-13
1.33737286e+07	1.75949983e-13
1.48026913e+07	1.75872580e-13
1.63843365e+07	1.75802648e-13
1.81349780e+07	1.75739468e-13
2.00726730e+07	1.75682386e-13
2.22174078e+07	1.75630815e-13
2.45913043e+07	1.75584222e-13
2.72188479e+07	1.75542128e-13
3.01271407e+07	1.75504095e-13
3.33461802e+07	1.75469735e-13
3.69091691e+07	1.75438692e-13
4.08528580e+07	1.75410645e-13
4.52179242e+07	1.75385306e-13
5.00493910e+07	1.75362413e-13
5.53970928e+07	1.75341731e-13
6.13161884e+07	1.75323046e-13
6.78677305e+07	1.75306163e-13
7.51192949e+07	1.75290910e-13
8.31456781e+07	1.75277129e-13
9.20296681e+07	1.75264678e-13
1.01862899e+08	1.75253430e-13
1.12746796e+08	1.75243268e-13
1.24793621e+08	1.75234085e-13
1.38127630e+08	1.75225791e-13
1.52886359e+08	1.75218297e-13
1.69222035e+08	1.75211527e-13
1.87303154e+08	1.75205409e-13
2.07316213e+08	1.75199885e-13
2.29467637e+08	1.75194885e-13
2.53985907e+08	1.75190378e-13
2.81123917e+08	1.75186302e-13
3.11161583e+08	1.75182615e-13
3.44408728e+08	1.75179286e-13
3.81208280e+08	1.75176293e-13
4.21939808e+08	1.75173578e-13
4.67023439e+08	1.75171118e-13
5.16924187e+08	1.75168905e-13
5.72156756e+08	1.75166903e-13
6.33290840e+08	1.75165075e-13
7.00957009e+08	1.75163459e-13
7.75853206e+08	1.75161972e-13
8.58751948e+08	1.75160643e-13
9.50508296e+08	1.75159449e-13
1.05206867e+09	1.75158369e-13
1.16448062e+09	1.75157339e-13
1.28890361e+09	1.75156468e-13
1.42662102e+09	1.75155667e-13
1.57905331e+09	1.75154934e-13
1.74777277e+09	1.75154286e-13
1.93451965e+09	1.75153703e-13
2.14122015e+09	1.75153186e-13
2.37000629e+09	1.75152708e-13
2.62323788e+09	1.75152231e-13
2.90352688e+09	1.75151878e-13
3.21376434e+09	1.75151530e-13
3.55715021e+09	1.75151226e-13
3.93722633e+09	1.75150933e-13
4.35791301e+09	1.75150673e-13
4.82354943e+09	1.75150311e-13
5.33893840e+09	1.75150175e-13
5.90939590e+09	1.75149917e-13
6.54080591e+09	1.75149699e-13
7.23968114e+09	1.75149639e-13
8.01323013e+09	1.75149592e-13
8.86943166e+09	1.75149518e-13
9.81711702e+09	1.75149417e-13
1.08660611e+10	1.75149192e-13
1.20270833e+10	1.75148988e-13
1.33121590e+10	1.75148831e-13
1.47345431e+10	1.75148923e-13
1.63089068e+10	1.75148938e-13
1.80514888e+10	1.75148663e-13
1.99802631e+10	1.75148937e-13
2.21151240e+10	1.75148342e-13
2.44780916e+10	1.75148607e-13
2.70935387e+10	1.75148487e-13
2.99884423e+10	1.75148445e-13
3.31926620e+10	1.75148417e-13
3.67392478e+10	1.75148456e-13
4.06647809e+10	1.75148937e-13
4.50097513e+10	1.75148166e-13
4.98189752e+10	1.75149459e-13
5.51420574e+10	1.75148224e-13
6.10339029e+10	1.75148864e-13
6.75552832e+10	1.75149353e-13
7.47734631e+10	1.75148247e-13
8.27628946e+10	1.75149070e-13
9.16059848e+10	1.75147932e-13
1.01393946e+11	1.75148489e-13
1.12227736e+11	1.75150507e-13
1.24219100e+11	1.75146503e-13
1.37491723e+11	1.75151237e-13
1.52182505e+11	1.75151654e-13
1.68442976e+11	1.75144468e-13
1.86440853e+11	1.75149518e-13
2.06361777e+11	1.75145953e-13
2.28411221e+11	1.75144025e-13
2.52816614e+11	1.75146551e-13
2.79829688e+11	1.75149767e-13
3.09729067e+11	1.75157558e-13
3.42823149e+11	1.75157118e-13
3.79453285e+11	1.75152226e-13
4.19997295e+11	1.75147721e-13
4.64873371e+11	1.75138998e-13
5.14544388e+11	1.75150025e-13
5.69522678e+11	1.75146678e-13
6.30375315e+11	1.75156629e-13
6.97729965e+11	1.75150415e-13
7.72281357e+11	1.75140403e-13
8.54798453e+11	1.75152032e-13
9.46132376e+11	1.75131730e-13
1.04722519e+12	1.75162242e-13
1.15911962e+12	1.75122909e-13
1.28296980e+12	1.75159392e-13
1.42005318e+12	1.75148922e-13
1.57178372e+12	1.75157191e-13
1.73972643e+12	1.75131771e-13
1.92561357e+12	1.75146572e-13
2.13136247e+12	1.75130421e-13
2.35909533e+12	1.75172628e-13
2.61116110e+12	1.75132657e-13
2.89015972e+12	1.75120772e-13
3.19896892e+12	1.75123873e-13
3.54077391e+12	1.75109788e-13
3.91910025e+12	1.75118893e-13
4.33785019e+12	1.75151477e-13
4.80134292e+12	1.75230835e-13
5.31435916e+12	1.75144310e-13
5.88219040e+12	1.75220929e-13
6.51069356e+12	1.75163198e-13
7.20635132e+12	1.75091991e-13
7.97633907e+12	1.75099558e-13
8.82859884e+12	1.75089409e-13
9.77192128e+12	1.75152545e-13
1.08160363e+13	1.74849721e-13
1.19717134e+13	1.75273567e-13
1.32508729e+13	1.75062648e-13
1.46667087e+13	1.75209077e-13
1.62338243e+13	1.75572291e-13
1.79683839e+13	1.75216882e-13
1.98882786e+13	1.75132344e-13
2.20133111e+13	1.74953869e-13
2.43654001e+13	1.75392762e-13
2.69688063e+13	1.74961283e-13
2.98503825e+13	1.75456911e-13
3.30398507e+13	1.75340214e-13
3.65701088e+13	1.74166701e-13
4.04775697e+13	1.74475819e-13
4.48025368e+13	1.75481428e-13
4.95896201e+13	1.74668441e-13
5.48881961e+13	1.75361609e-13
6.07529169e+13	1.74183743e-13
6.72442742e+13	1.75635778e-13
7.44292233e+13	1.74500443e-13
8.23818733e+13	1.75050526e-13
9.11842520e+13	1.73938318e-13
1.00927151e+14	1.75692844e-13
1.11711065e+14	1.73352675e-13
1.23647224e+14	1.73437104e-13
1.36858742e+14	1.76814001e-13
1.51481892e+14	1.75868871e-13
1.67667503e+14	1.73129711e-13
1.85582523e+14	1.75444981e-13
2.05411735e+14	1.76206701e-13
2.27359668e+14	1.77213872e-13
2.51652705e+14	1.78574184e-13
2.78541416e+14	1.69440581e-13
3.08303146e+14	1.75172497e-13
3.41244871e+14	1.73809004e-13
3.77706369e+14	1.72800722e-13
4.18063724e+14	1.77692770e-13
4.62733201e+14	1.72498453e-13
5.12175544e+14	1.78856688e-13
5.66900727e+14	1.85376291e-13
6.27473213e+14	1.78736751e-13
6.94517777e+14	1.84672276e-13
7.68725952e+14	1.56902628e-13
8.50863158e+14	1.42710784e-13
9.41776601e+14	1.49935171e-13
1.04240401e+15	1.52842098e-13
1.15378330e+15	1.55022787e-13
1.27706330e+15	1.62951843e-13
1.41351558e+15	1.34053272e-13
1.56454759e+15	1.40958543e-13
1.73171713e+15	1.48076990e-13
1.91674849e+15	1.46855248e-13
2.12155017e+15	1.54122474e-13
2.34823460e+15	1.61982162e-13
2.59913992e+15	1.57962102e-13
2.87685409e+15	1.66088112e-13
3.18424160e+15	1.74359792e-13
3.52447300e+15	1.83392373e-13
3.90105762e+15	1.92956058e-13
4.31787973e+15	5.31279553e-14
4.77923865e+15	5.61286920e-14
5.28989308e+15	5.85052630e-14
5.85511016e+15	6.11814189e-14
6.48071983e+15	6.48972070e-14
7.17317494e+15	6.76018912e-14
7.93961785e+15	7.06567048e-14
8.78795401e+15	7.49500176e-14
9.72693362e+15	7.82905584e-14
1.07662418e+16	8.24834261e-14
1.19165984e+16	8.59797099e-14
1.31898690e+16	2.85114899e-15
1.45991865e+16	3.68316475e-15
1.61590875e+16	3.53243238e-15
