1.00000000e-02	8.10665237e-05
1.10684849e-02	7.24867741e-05
1.22511358e-02	6.39731657e-05
1.35601511e-02	5.58368407e-05
1.50090328e-02	4.82771691e-05
1.66127252e-02	4.14029433e-05
1.83877698e-02	3.52571443e-05
2.03524752e-02	2.98380771e-05
2.25271064e-02	2.51150800e-05
2.49340937e-02	2.10396029e-05
2.75982639e-02	1.75530548e-05
3.05470967e-02	1.45924644e-05
3.38110078e-02	1.20945177e-05
3.74236629e-02	9.99842410e-06
4.14223247e-02	8.24768942e-06
4.58482375e-02	6.79113657e-06
5.07470524e-02	5.58331756e-06
5.61692982e-02	4.58450008e-06
6.21709029e-02	3.76044899e-06
6.88137699e-02	3.08185881e-06
7.61664172e-02	2.52392492e-06
8.43046837e-02	2.06580213e-06
9.33125118e-02	1.69005350e-06
1.03282813e-01	1.38213293e-06
1.14318425e-01	1.12999446e-06
1.26533176e-01	9.23657728e-07
1.40053055e-01	7.54885661e-07
1.55017512e-01	6.16922606e-07
1.71580899e-01	5.04161029e-07
1.89914058e-01	4.12059280e-07
2.10206088e-01	3.36838285e-07
2.32666291e-01	2.75430174e-07
2.57526333e-01	2.25322085e-07
2.85042632e-01	1.84407210e-07
3.15499006e-01	1.51034076e-07
3.49209598e-01	1.23804800e-07
3.86522116e-01	1.01587151e-07
4.27821420e-01	8.34568168e-08
4.73533492e-01	6.86566451e-08
5.24129830e-01	5.65694498e-08
5.80132310e-01	4.66933029e-08
6.42118571e-01	3.86184619e-08
7.10727970e-01	3.20100565e-08
7.86668179e-01	2.65995668e-08
8.70722485e-01	2.21643449e-08
9.63757866e-01	1.85242528e-08
1.06673394e+00	1.55325508e-08
1.18071285e+00	1.30696716e-08
1.30687023e+00	1.10382002e-08
1.44650734e+00	9.35879245e-09
1.60106446e+00	7.96685009e-09
1.77213578e+00	6.80980570e-09
1.96148581e+00	5.84490233e-09
2.17106760e+00	5.03737699e-09
2.40304289e+00	4.35897574e-09
2.65980440e+00	3.78673757e-09
2.94400048e+00	3.30200164e-09
3.25856248e+00	2.88959621e-09
3.60673495e+00	2.53717752e-09
3.99210913e+00	2.23469305e-09
4.41865996e+00	1.97395094e-09
4.89078709e+00	1.74822388e-09
5.41336030e+00	1.55197685e-09
5.99176967e+00	1.38081316e-09
6.63198120e+00	1.23092458e-09
7.34059837e+00	1.09925826e-09
8.12493021e+00	9.83233399e-10
8.99306672e+00	8.80707383e-10
9.95396231e+00	7.89876693e-10
1.10175281e+01	7.09221085e-10
1.21947344e+01	6.37474142e-10
1.34977233e+01	5.73540590e-10
1.49399346e+01	5.16482133e-10
1.65362441e+01	4.65433790e-10
1.83031168e+01	4.19743501e-10
2.02587771e+01	3.78803826e-10
2.24233968e+01	3.42085180e-10
2.48193029e+01	3.09124244e-10
2.74712079e+01	2.79514270e-10
3.04064649e+01	2.53313668e-10
3.36553498e+01	2.29265899e-10
3.72513730e+01	2.07641905e-10
4.12316259e+01	1.88186147e-10
4.56371628e+01	1.70672415e-10
5.05134247e+01	1.54899958e-10
5.59107078e+01	1.40690238e-10
6.18846824e+01	1.27884162e-10
6.84969672e+01	1.16339727e-10
7.58157646e+01	1.05929997e-10
8.39165644e+01	9.65413545e-11
9.28829225e+01	8.80719916e-11
1.02807322e+02	8.04305910e-11
1.13792129e+02	7.35347452e-11
1.25950646e+02	6.73115920e-11
1.39408283e+02	6.16946257e-11
1.54303847e+02	5.66242204e-11
1.70790980e+02	5.20467744e-11
1.89039738e+02	4.79140262e-11
2.09238348e+02	4.41825051e-11
2.31595149e+02	4.08130429e-11
2.56340741e+02	3.77703373e-11
2.83730362e+02	3.50225617e-11
3.14046522e+02	3.25410168e-11
3.47601918e+02	3.02998171e-11
3.84742658e+02	2.82756119e-11
4.25851829e+02	2.64473328e-11
4.71353453e+02	2.47959682e-11
5.21716858e+02	2.33043605e-11
5.77461515e+02	2.19570233e-11
6.39162405e+02	2.07399774e-11
7.07455942e+02	1.96406027e-11
7.83046540e+02	1.86475055e-11
8.66713880e+02	1.77503985e-11
9.59320948e+02	1.69399925e-11
1.06182294e+03	1.62078994e-11
1.17527712e+03	1.55465444e-11
1.30085370e+03	1.49490864e-11
1.43984795e+03	1.44093474e-11
1.59369353e+03	1.39217473e-11
1.76397728e+03	1.34812464e-11
1.95245558e+03	1.30832925e-11
2.16107251e+03	1.27237741e-11
2.39197984e+03	1.23989773e-11
2.64755927e+03	1.21055472e-11
2.93044698e+03	1.18404537e-11
3.24356081e+03	1.16009592e-11
3.59013038e+03	1.13845911e-11
3.97373038e+03	1.11891156e-11
4.39831747e+03	1.10125148e-11
4.86827104e+03	1.08529657e-11
5.38843844e+03	1.07088217e-11
5.96418495e+03	1.05785949e-11
6.60144909e+03	1.04609416e-11
7.30680395e+03	1.03546474e-11
8.08752491e+03	1.02586157e-11
8.95166472e+03	1.01718554e-11
9.90813657e+03	1.00934713e-11
1.09668060e+04	1.00226547e-11
1.21385926e+04	9.95867486e-12
1.34355829e+04	9.90087180e-12
1.48711546e+04	9.84864909e-12
1.64601150e+04	9.80146797e-12
1.82188534e+04	9.75884171e-12
2.01655104e+04	9.72033056e-12
2.23201647e+04	9.68553722e-12
2.47050406e+04	9.65410276e-12
2.73447368e+04	9.62570291e-12
3.02664806e+04	9.60004474e-12
3.35004083e+04	9.57686351e-12
3.70798763e+04	9.55592129e-12
4.10418050e+04	9.53699971e-12
4.54270599e+04	9.51990475e-12
5.02808725e+04	9.50446008e-12
5.56533078e+04	9.49050636e-12
6.15997796e+04	9.47789969e-12
6.81816229e+04	9.46650999e-12
7.54667263e+04	9.45621981e-12
8.35302320e+04	9.44692300e-12
9.24553110e+04	9.43852366e-12
1.02334021e+05	9.43093513e-12
1.13268257e+05	9.42407919e-12
1.25370799e+05	9.41788506e-12
1.38766479e+05	9.41228888e-12
1.53593468e+05	9.40723293e-12
1.70004698e+05	9.40266381e-12
1.88169442e+05	9.39853690e-12
2.08275063e+05	9.39480793e-12
2.30528939e+05	9.39143934e-12
2.55160607e+05	9.38839593e-12
2.82424133e+05	9.38564629e-12
3.12600724e+05	9.38316211e-12
3.46001639e+05	9.38091773e-12
3.82971391e+05	9.37889002e-12
4.23891306e+05	9.37705806e-12
4.69183451e+05	9.37540276e-12
5.19314994e+05	9.37390742e-12
5.74803016e+05	9.37255641e-12
6.36219849e+05	9.37133586e-12
7.04198979e+05	9.37023309e-12
7.79441575e+05	9.36923679e-12
8.62723729e+05	9.36833666e-12
9.54904456e+05	9.36752345e-12
1.05693455e+06	9.36678872e-12
1.16986641e+06	9.36612492e-12
1.29486487e+06	9.36552519e-12
1.43321923e+06	9.36498337e-12
1.58635653e+06	9.36449385e-12
1.75585633e+06	9.36405158e-12
