1.00000000e-02	2.20636797e-08
1.10684849e-02	2.57943308e-08
1.22511358e-02	3.00467254e-08
1.35601511e-02	3.47245743e-08
1.50090328e-02	4.02749069e-08
1.66127252e-02	4.65492886e-08
1.83877698e-02	5.36429080e-08
2.03524752e-02	6.11839748e-08
2.25271064e-02	6.96751463e-08
2.49340937e-02	7.96973908e-08
2.75982639e-02	9.05666981e-08
3.05470967e-02	1.00654736e-07
3.38110078e-02	1.13541889e-07
3.74236629e-02	1.26481946e-07
4.14223247e-02	1.37729251e-07
4.58482375e-02	1.51748594e-07
5.07470524e-02	1.61192748e-07
5.61692982e-02	1.73451583e-07
6.21709029e-02	1.80881501e-07
6.88137699e-02	1.86887959e-07
7.61664172e-02	1.90177162e-07
8.43046837e-02	1.90049988e-07
9.33125118e-02	1.86302930e-07
1.03282813e-01	1.82178422e-07
1.14318425e-01	1.80051240e-07
1.26533176e-01	1.75298832e-07
1.40053055e-01	1.70113235e-07
1.55017512e-01	1.65077091e-07
1.71580899e-01	1.59574854e-07
1.89914058e-01	1.53405125e-07
2.10206088e-01	1.46229334e-07
2.32666291e-01	1.37925608e-07
2.57526333e-01	1.28553237e-07
2.85042632e-01	1.18347200e-07
3.15499006e-01	1.07652468e-07
3.49209598e-01	9.68425727e-08
3.86522116e-01	8.62549008e-08
4.27821420e-01	7.61554444e-08
4.73533492e-01	6.67297425e-08
5.24129830e-01	5.80905134e-08
5.80132310e-01	5.02915171e-08
6.42118571e-01	4.33417729e-08
7.10727970e-01	3.72176877e-08
7.86668179e-01	3.18729387e-08
8.70722485e-01	2.72464097e-08
9.63757866e-01	2.32693629e-08
1.06673394e+00	1.98696159e-08
1.18071285e+00	1.69761425e-08
1.30687023e+00	1.45215694e-08
1.44650734e+00	1.24438720e-08
1.60106446e+00	1.06872758e-08
1.77213578e+00	9.19251432e-09
1.96148581e+00	7.93928506e-09
2.17106760e+00	6.87815871e-09
2.40304289e+00	5.98169310e-09
2.65980440e+00	5.21438490e-09
2.94400048e+00	4.55982135e-09
3.25856248e+00	3.99960564e-09
3.60673495e+00	3.51845228e-09
3.99210913e+00	3.10369114e-09
4.41865996e+00	2.74483368e-09
4.89078709e+00	2.43320041e-09
5.41336030e+00	2.16160285e-09
5.99176967e+00	1.92408103e-09
6.63198120e+00	1.71568537e-09
7.34059837e+00	1.53227941e-09
8.12493021e+00	1.37041400e-09
8.99306672e+00	1.22719006e-09
9.95396231e+00	1.10016279e-09
1.10175281e+01	9.87263602e-10
1.21947344e+01	8.86739840e-10
1.34977233e+01	7.97080885e-10
1.49399346e+01	7.17015872e-10
1.65362441e+01	6.45328470e-10
1.83031168e+01	5.81141987e-10
2.02587771e+01	5.23601516e-10
2.24233968e+01	4.71971552e-10
2.48193029e+01	4.25607859e-10
2.74712079e+01	3.83943757e-10
3.04064649e+01	3.47049915e-10
3.36553498e+01	3.13196190e-10
3.72513730e+01	2.82747252e-10
4.12316259e+01	2.55344737e-10
4.56371628e+01	2.30673487e-10
5.05134247e+01	2.08451316e-10
5.59107078e+01	1.88427917e-10
6.18846824e+01	1.70379998e-10
